attacker;weapon;ammo;mode;target;hit index;is applied;location;called shot location;hit roll;corrected roll;hit chance;damage;ap damage;heat;stability;is intecepted;intecepted by;is AoE;is frag separated;is frag pallet;frags pallets count;
Atlas;LRM20(LRM);LRM;B;KingCrab-A;0;False;(0)Air;(0)None;0.8103697;0.7633926;0.3;4;0;0;2;True;AMS(Norm.)(ams);False;False;False;0;
Atlas;LRM20(LRM);LRM;B;Annihilator;1;False;(0)Air;(0)None;0.9427197;0.9208957;0.3;4;0;0;2;True;AMS(Norm.)(ams);False;False;False;0;
Atlas;LRM20(LRM);LRM;B;Annihilator;2;False;(0)Air;(0)None;0.2404093;0.287394;0.3;4;0;0;2;True;AMS(Norm.)(ams);False;False;False;0;
Atlas;LRM20(LRM);LRM;B;KingCrab-A - Copy;3;False;(0)Air;(0)None;0.5932025;0.5707309;0.3;4;0;0;2;True;AMS(Norm.)(ams);False;False;False;0;
Atlas;LRM20(LRM);LRM;B;KingCrab-A;4;False;(0)Air;(0)None;0.1077992;0.1440726;0.3;4;0;0;2;True;AMS(Norm.)(ams);False;False;False;0;
Atlas;LRM20(LRM);LRM;B;Annihilator;5;False;(0)Air;(0)None;0.3091706;0.349762;0.3;4;0;0;2;True;AMS(Norm.)(ams);False;False;False;0;
Atlas;LRM20(LRM);LRM;B;Annihilator;6;False;(0)Air;(0)None;0.5610893;0.5460504;0.3;4;0;0;2;True;AMS(Norm.)(ams);False;False;False;0;
Atlas;LRM20(LRM);LRM;B;KingCrab-A;7;False;(0)Air;(0)None;0.03053829;0.04195383;0.3;4;0;0;2;True;AMS(Norm.)(ams);False;False;False;0;
Atlas;LRM20(LRM);LRM;B;Annihilator;8;False;(0)Air;(0)None;0.8595244;0.81723;0.3;4;0;0;2;True;AMS(Norm.)(ams);False;False;False;0;
Atlas;LRM20(LRM);LRM;B;Annihilator;9;False;(0)Air;(0)None;0.5219987;0.51651;0.3;4;0;0;2;True;AMS(Norm.)(ams);False;False;False;0;
Atlas;LRM20(LRM);LRM;B;KingCrab-A;10;False;(0)Air;(0)None;0.1114783;0.1485542;0.3;4;0;0;2;True;AMS(Norm.)(ams);False;False;False;0;
Atlas;LRM20(LRM);LRM;B;Annihilator;11;False;(0)Air;(0)None;0.248361;0.294954;0.3;4;0;0;2;True;AMS(Norm.)(ams);False;False;False;0;
Atlas;LRM20(LRM);LRM;B;KingCrab-A;12;False;(0)Air;(0)None;0.7270494;0.6822726;0.3;4;0;0;2;True;AMS(Norm.)(ams);False;False;False;0;
Atlas;LRM20(LRM);LRM;B;Annihilator;13;False;(0)Air;(0)None;0.3028898;0.3443253;0.3;4;0;0;2;True;AMS(Norm.)(ams);False;False;False;0;
Atlas;LRM20(LRM);LRM;B;Annihilator;14;False;(0)Air;(0)None;0.6754516;0.6371194;0.3;4;0;0;2;True;AMS(Norm.)(ams);False;False;False;0;
Atlas;LRM20(LRM);LRM;B;Annihilator;15;False;(0)Air;(0)None;0.7592853;0.7123138;0.3;4;0;0;2;True;AMS(Norm.)(ams);False;False;False;0;
Atlas;LRM20(LRM);LRM;B;Annihilator;16;False;(0)Air;(0)None;0.8607153;0.8185976;0.3;4;0;0;2;True;AMS(Norm.)(ams);False;False;False;0;
Atlas;LRM20(LRM);LRM;B;Annihilator;17;False;(0)Air;(0)None;0.1128692;0.15024;0.3;4;0;0;2;True;AMS(Norm.)(ams);False;False;False;0;
Atlas;LRM20(LRM);LRM;B;Annihilator;18;False;(0)Air;(0)None;0.4520366;0.4639145;0.3;4;0;0;2;True;AMS(Norm.)(ams);False;False;False;0;
Atlas;LRM20(LRM);LRM;B;Annihilator;19;False;(0)Air;(0)None;0.6254787;0.5961321;0.3;4;0;0;2;True;AMS(Norm.)(ams);False;False;False;0;
CRITICALS
attacker;weapon;ammo;mode;target;location id;location;struct id;struct;armor on hitstructure in hitcrit chance;component;
