attacker;weapon;ammo;mode;target;hit index;is applied;location;called shot location;hit roll;corrected roll;hit chance;damage;ap damage;heat;stability;is intecepted;intecepted by;is AoE;is frag separated;is frag pallet;frags pallets count;
Atlas;AC/20;Norm.;B;KingCrab-A;0;True;(128)RightLeg;(0)None;0.3416371;0.3771609;0.45;60;0;0;20;False;none;False;False;False;0;
Atlas;M Laser;;B;KingCrab-A;0;False;(65536)Ground;(0)None;0.7962566;0.7488183;0.55;25;0;0;0;False;none;False;False;False;0;
Atlas;M Laser;;B;KingCrab-A;0;True;(8)CenterTorso;(0)None;0.4641343;0.4730535;0.5;15;0;0;0;False;none;False;False;False;0;
Atlas;M Laser;;B;KingCrab-A;0;False;(65536)Ground;(0)None;0.9114504;0.8799146;0.55;25;0;0;0;False;none;False;False;False;0;
Atlas;M Laser;;B;KingCrab-A;0;True;(16)RightTorso;(0)None;0.2844987;0.3281258;0.5;15;0;0;0;False;none;False;False;False;0;
Atlas;SRM6;SRM;B;KingCrab-A;0;True;(8)CenterTorso;(0)None;0.07072758;0.09704309;0.45;4.8;0;0;1.5;False;none;False;False;False;0;
Atlas;SRM6;SRM;B;KingCrab-A;1;False;(65536)Ground;(0)None;0.7770714;0.7295845;0.45;8;0;0;3;False;none;False;False;False;0;
Atlas;SRM6;SRM;B;KingCrab-A;2;False;(65536)Ground;(0)None;0.606696;0.5812658;0.45;8;0;0;3;False;none;False;False;False;0;
Atlas;SRM6;SRM;B;KingCrab-A;3;False;(65536)Ground;(0)None;0.4691751;0.4768513;0.45;8;0;0;3;False;none;False;False;False;0;
Atlas;SRM6;SRM;B;KingCrab-A;4;False;(65536)Ground;(0)None;0.67367;0.6356163;0.45;8;0;0;3;False;none;False;False;False;0;
Atlas;SRM6;SRM;B;KingCrab-A;5;True;(32)RightArm;(0)None;0.3737442;0.4032473;0.45;4.8;0;0;1.5;False;none;False;False;False;0;
Atlas;LRM20;LRM;B;KingCrab-A;0;True;(4)LeftTorso;(0)None;0.4931185;0.4948385;0.65;2.4;0;0;1;False;none;False;False;False;0;
Atlas;LRM20;LRM;B;KingCrab-A;1;True;(4)LeftTorso;(0)None;0.3732419;0.4028459;0.65;2.4;0;0;1;False;none;False;False;False;0;
Atlas;LRM20;LRM;B;KingCrab-A;2;True;(64)LeftLeg;(0)None;0.5380859;0.528621;0.65;2.4;0;0;1;False;none;False;False;False;0;
Atlas;LRM20;LRM;B;KingCrab-A;3;False;(65536)Ground;(0)None;0.8911794;0.85468;0.65;4;0;0;2;False;none;False;False;False;0;
Atlas;LRM20;LRM;B;KingCrab-A;4;True;(64)LeftLeg;(0)None;0.3668051;0.3976842;0.65;2.4;0;0;1;False;none;False;False;False;0;
Atlas;LRM20;LRM;B;KingCrab-A;5;False;(65536)Ground;(0)None;0.8514419;0.8080303;0.65;4;0;0;2;False;none;False;False;False;0;
Atlas;LRM20;LRM;B;KingCrab-A;6;False;(65536)Ground;(0)None;0.9183986;0.8888006;0.65;4;0;0;2;False;none;False;False;False;0;
Atlas;LRM20;LRM;B;KingCrab-A;7;False;(65536)Ground;(0)None;0.7395853;0.6937715;0.65;4;0;0;2;False;none;False;False;False;0;
Atlas;LRM20;LRM;B;KingCrab-A;8;True;(4)LeftTorso;(0)None;0.0279924;0.03831135;0.65;2.4;0;0;1;False;none;False;False;False;0;
Atlas;LRM20;LRM;B;KingCrab-A;9;True;(4)LeftTorso;(0)None;0.1927656;0.2398774;0.65;2.4;0;0;1;False;none;False;False;False;0;
Atlas;LRM20;LRM;B;KingCrab-A;10;False;(65536)Ground;(0)None;0.8987219;0.8639513;0.65;4;0;0;2;False;none;False;False;False;0;
Atlas;LRM20;LRM;B;KingCrab-A;11;False;(65536)Ground;(0)None;0.8689954;0.8281938;0.65;4;0;0;2;False;none;False;False;False;0;
Atlas;LRM20;LRM;B;KingCrab-A;12;False;(65536)Ground;(0)None;0.9977291;0.9995607;0.65;4;0;0;2;False;none;False;False;False;0;
Atlas;LRM20;LRM;B;KingCrab-A;13;True;(8)CenterTorso;(0)None;0.5311441;0.523389;0.65;2.4;0;0;1;False;none;False;False;False;0;
Atlas;LRM20;LRM;B;KingCrab-A;14;True;(16)RightTorso;(0)None;0.2676933;0.3129324;0.65;2.4;0;0;1;False;none;False;False;False;0;
Atlas;LRM20;LRM;B;KingCrab-A;15;True;(8)CenterTorso;(0)None;0.3893153;0.4155979;0.65;2.4;0;0;1;False;none;False;False;False;0;
Atlas;LRM20;LRM;B;KingCrab-A;16;False;(65536)Ground;(0)None;0.7274061;0.6825968;0.65;4;0;0;2;False;none;False;False;False;0;
Atlas;LRM20;LRM;B;KingCrab-A;17;False;(65536)Ground;(0)None;0.7904042;0.7428821;0.65;4;0;0;2;False;none;False;False;False;0;
Atlas;LRM20;LRM;B;KingCrab-A;18;True;(2)LeftArm;(0)None;0.4657451;0.4742677;0.65;2.4;0;0;1;False;none;False;False;False;0;
Atlas;LRM20;LRM;B;KingCrab-A;19;False;(65536)Ground;(0)None;0.7858352;0.7382901;0.65;4;0;0;2;False;none;False;False;False;0;
CRITICALS
attacker;weapon;ammo;mode;target;location id;location;struct id;struct;armor on hitstructure in hitcrit chance;component;
