attacker;weapon;ammo;mode;target;hit index;is applied;location;called shot location;hit roll;corrected roll;hit chance;damage;ap damage;heat;stability;is intecepted;intecepted by;is AoE;is frag separated;is frag pallet;frags pallets count;
Striker Narc;LRM10;LRM;B;Jenner;0;False;(65536)Ground;(0)None;0.4948613;0.4961459;0.475;7;0;0;2;False;none;False;False;False;0;
Striker Narc;LRM10;LRM;B;Jenner;1;True;(32)RightArm;(0)None;0.07069615;0.09700173;0.475;5.6;0;0;2;False;none;False;False;False;0;
Striker Narc;LRM10;LRM;B;Jenner;2;False;(65536)Ground;(0)None;0.6273187;0.5976024;0.475;7;0;0;2;False;none;False;False;False;0;
Striker Narc;LRM10;LRM;B;Jenner;3;True;(16)RightTorso;(0)None;0.271563;0.3164656;0.475;5.6;0;0;2;False;none;False;False;False;0;
Striker Narc;LRM10;LRM;B;Jenner;4;False;(65536)Ground;(0)None;0.5348992;0.5262179;0.475;7;0;0;2;False;none;False;False;False;0;
Striker Narc;LRM10;LRM;B;Jenner;5;True;(16)RightTorso;(0)None;0.4280891;0.445686;0.475;5.6;0;0;2;False;none;False;False;False;0;
Striker Narc;LRM10;LRM;B;Jenner;6;False;(65536)Ground;(0)None;0.6819082;0.6425951;0.475;7;0;0;2;False;none;False;False;False;0;
Striker Narc;LRM10;LRM;B;Jenner;7;False;(65536)Ground;(0)None;0.8037217;0.7564811;0.475;7;0;0;2;False;none;False;False;False;0;
Striker Narc;LRM10;LRM;B;Jenner;8;False;(65536)Ground;(0)None;0.6277996;0.5979871;0.475;7;0;0;2;False;none;False;False;False;0;
Striker Narc;LRM10;LRM;B;Jenner;9;True;(8)CenterTorso;(0)None;0.2613178;0.3070645;0.475;5.6;0;0;2;False;none;False;False;False;0;
Striker Narc;Narc Beacon + +;NARC;B;Jenner;0;True;(128)RightLeg;(0)None;0.349994;0.3840391;0.475;1.4;0;0;0;False;none;False;False;False;0;
CRITICALS
attacker;weapon;ammo;mode;target;location id;location;struct id;struct;armor on hitstructure in hitcrit chance;component;
